model,auc,precision,recall,f1,mcc
XGBoost (raw features),0.9068538289251945,0.21291287015945332,0.7359744094488189,0.33027826855123676,0.35981459081670153
Random Forest (raw features),0.87399546213963,0.19414238074525156,0.6589566929133859,0.29992160376301935,0.3186656392930146
Logistic Regression (raw features),0.8269474818670622,0.08693184888936929,0.7915846456692913,0.15665936206476747,0.19464053139964693
Proposed Framework (All Components),0.9586109625857212,0.42502951593860683,0.797244094488189,0.5544622229828015,0.5629014776805218
