,mean_abs_shap
V26,0.00033021363
V190,0.0003255569
V331,0.000314474
V207,0.0002909542
V25,0.0002878319
seq_embed_5,0.00028074015
V79,0.00027608158
V193,0.0002736234
V104,0.00026743245
V51,0.00026694694
V224,0.00026656
V295,0.00026520184
V199,0.00026106054
V175,0.00025982963
V150,0.00025964552
V144,0.0002580316
id_10,0.00025108227
V177,0.00024552838
V80,0.00024134497
D7,0.00023784256
V46,0.00022793944
V137,0.00022619386
V208,0.00022171684
V229,0.00022064627
V134,0.00021540416
V254,0.0002103759
V186,0.00020700469
V125,0.00020434645
V172,0.00020049691
V332,0.00019738152
V338,0.00019640132
V151,0.00019289735
V161,0.00019025698
V251,0.00018382828
V260,0.00018332982
id_32,0.00018309007
V242,0.0001766235
V21,0.00017613985
V103,0.00017562861
V74,0.00017534368
V326,0.00016828736
id_25,0.00016731943
V168,0.00015665317
V259,0.00015521736
V101,0.00015480233
V269,0.00015256977
V246,0.00015244282
V196,0.00014833016
V210,0.00014519604
V230,0.00014477501
V239,0.00014150383
V8,0.00013735096
V256,0.00013244632
V289,0.000114472416
V253,0.00011385082
V211,0.00010807235
id_26,0.000107610365
V292,0.00010547004
id_24,0.00010264084
V188,0.00010181265
V255,0.000101200654
V197,9.605933e-05
V138,9.545112e-05
V194,9.5284406e-05
V232,9.481475e-05
V223,9.3824776e-05
V220,9.135261e-05
V249,9.094014e-05
V59,8.85408e-05
V184,8.638868e-05
V198,8.585342e-05
V212,8.5263775e-05
V148,7.959737e-05
V276,7.842745e-05
V16,7.30026e-05
V329,7.283419e-05
id_08,7.164167e-05
id_37,6.892742e-05
V250,6.855032e-05
V155,6.8197754e-05
V39,6.286433e-05
V195,6.0423594e-05
V180,6.023789e-05
V158,5.8257676e-05
V183,5.3975273e-05
V339,5.2324514e-05
V238,4.840031e-05
V270,4.8387723e-05
V118,4.8199647e-05
V142,4.7514524e-05
V181,4.6152545e-05
V247,4.597051e-05
V18,4.4002925e-05
V22,4.3821947e-05
V17,4.185946e-05
V146,4.1100695e-05
V92,4.0155966e-05
V275,3.9789695e-05
V58,3.4480527e-05
V132,3.39306e-05
V237,3.3481247e-05
V32,2.8996632e-05
V213,2.8494442e-05
V157,2.4156967e-05
V31,2.3209095e-05
V117,2.193233e-05
V226,2.0639704e-05
V111,1.919665e-05
V227,1.873099e-05
V113,1.8321394e-05
V141,1.8278415e-05
V205,1.6865533e-05
V233,1.4746128e-05
V176,1.424249e-05
V153,1.3317175e-05
V109,1.13348815e-05
id_35,1.0796073e-05
V179,1.0718293e-05
V330,1.0379157e-05
V200,9.720471e-06
V215,6.472204e-06
V252,6.413686e-06
V174,6.208764e-06
V216,5.3833614e-06
V114,4.1953076e-06
V123,3.2302055e-06
V214,3.0780511e-06
V327,2.9124392e-06
V235,5.073149e-07
V122,0.0
V121,0.0
V106,0.0
V116,0.0
V28,0.0
V120,0.0
V119,0.0
graph_betweenness,0.0
V112,0.0
V27,0.0
graph_eigenvector,0.0
V110,0.0
V185,0.0
V41,0.0
V154,0.0
V305,0.0
V302,0.0
V301,0.0
V299,0.0
V14,0.0
V84,0.0
V88,0.0
V89,0.0
V278,0.0
V231,0.0
V272,0.0
V108,0.0
V236,0.0
V93,0.0
V240,0.0
V1,0.0
V73,0.0
V192,0.0
V65,0.0
id_29,0.0
id_27,0.0
id_23,0.0
id_22,0.0
id_21,0.0
id_16,0.0
V182,0.0
V68,0.0
V337,0.0
V241,0.0
V334,0.0
V328,0.0
V325,0.0
V191,0.0
V107,0.0
