,auc,precision,recall,f1,mcc
mean,0.9401532892279901,0.4565265785548685,0.5921323768611164,0.20951592105774067,0.2772772930158776
std,0.007816149875480205,0.4773668238307886,0.49846642926141393,0.18144775637508706,0.14994671949681165
