config,num_features,auc,precision,recall,f1,mcc
Raw only,281,0.9101612837147122,0.2762572868293647,0.687992125984252,0.3942192456820585,0.4061953083032171
Raw + Temporal,295,0.9570726384408338,0.4043516538800151,0.7910925196850394,0.5351643778610071,0.5452620381642106
Raw + Temporal + Graph,306,0.9574348166956284,0.41693896222715987,0.7849409448818898,0.5446009389671361,0.5523240725086014
Full Model (+ Device Trust + Sequence + Anomaly),327,0.9586109625857212,0.42502951593860683,0.797244094488189,0.5544622229828015,0.5629014776805218
