fold,auc,precision,recall,f1,mcc
1,0.9312597883537421,1.0,0.02003484320557491,0.03928266438941076,0.13909476849528338
2,0.9432690886796228,0.10506180105944674,0.9329268292682927,0.18885558102627403,0.25601806481988537
3,0.9459309906506057,0.2645179346051588,0.8234354581094816,0.40040951775753725,0.4367190457324642
